,ETH Price,BTC Price,ETH_Comp,BTC_Comp,Cash,ETH_Value,BTC_Value,Total_Value,ETH_Percentage,BTC_Percentage,Cash_Percentage
2024-08-26 06:00:00,2748.87,63920.0,37.73345198476453,2.465173400521101,0,103724.35415735966,157573.88376130877,261298.23791866843,39.695772533163755,60.304227466836245,0.0
2024-08-26 07:00:00,2746.54,63819.0,0.0,4.087894836024224,0,0.0,260885.36054022997,260885.36054022997,0.0,100.0,0.0
2024-08-26 08:00:00,2738.26,63581.0,0.0,4.087894836024224,0,0.0,259912.44156925622,259912.44156925622,0.0,100.0,0.0
2024-08-26 09:00:00,2739.74,63509.0,94.91883223991009,0.0,0,260052.92144097126,0.0,260052.92144097126,100.0,0.0,0.0
2024-08-26 10:00:00,2737.07,63507.0,94.91883223991009,0.0,0,259799.48815889072,0.0,259799.48815889072,100.0,0.0,0.0
2024-08-26 11:00:00,2746.15,63562.0,94.91883223991009,0.0,0,260661.3511556291,0.0,260661.3511556291,100.0,0.0,0.0
2024-08-26 12:00:00,2736.61,63648.0,94.91883223991009,0.0,0,259755.82549606037,0.0,259755.82549606037,100.0,0.0,0.0
2024-08-26 13:00:00,2742.27,63751.0,94.91883223991009,0.0,0,260293.06608653822,0.0,260293.06608653822,100.0,0.0,0.0
2024-08-26 14:00:00,2729.1,63349.0,0.0,4.082964441130935,0,0.0,258651.7143812036,258651.7143812036,0.0,100.0,0.0
2024-08-26 15:00:00,2722.26,63490.0,94.77546237998007,0.0,0,258003.45021852455,0.0,258003.45021852455,100.0,0.0,0.0
2024-08-26 16:00:00,2719.89,63274.0,0.0,4.063686410750111,0,0.0,257125.69395380252,257125.69395380252,0.0,100.0,0.0
2024-08-26 17:00:00,2721.81,63463.0,0.0,4.063686410750111,0,0.0,257893.7306854343,257893.7306854343,0.0,100.0,0.0
2024-08-26 18:00:00,2729.85,63497.0,94.75082047807683,0.0,0,258655.52728207802,0.0,258655.52728207802,100.0,0.0,0.0
2024-08-26 19:00:00,2692.31,63230.0,94.75082047807683,0.0,0,255098.58148133103,0.0,255098.58148133103,100.0,0.0,0.0
2024-08-26 20:00:00,2698.55,63446.0,94.75082047807683,0.0,0,255689.82660111424,0.0,255689.82660111424,100.0,0.0,0.0
2024-08-26 21:00:00,2685.59,63191.0,94.75082047807683,0.0,0,254461.85596771838,0.0,254461.85596771838,100.0,0.0,0.0
2024-08-26 22:00:00,2689.15,62738.0,81.9008319164386,0.5461189217016664,0,220243.6221480909,34262.408909719146,254506.03105781003,86.53768291175128,13.462317088248717,0.0
2024-08-26 23:00:00,2688.44,62994.0,0.0,4.056648778376902,0,0.0,255544.53314507453,255544.53314507453,0.0,100.0,0.0
2024-08-27 00:00:00,2685.92,62893.0,0.0,4.056648778376902,0,0.0,255134.81161845848,255134.81161845848,0.0,100.0,0.0
2024-08-27 01:00:00,2689.36,62766.0,0.0,4.056648778376902,0,0.0,254619.6172236046,254619.6172236046,0.0,100.0,0.0
2024-08-27 02:00:00,2678.06,62635.0,0.0,4.056648778376902,0,0.0,254088.19623363722,254088.19623363722,0.0,100.0,0.0
2024-08-27 03:00:00,2689.47,62940.0,54.4827345806805,1.727151976730263,0,146529.68017270276,108706.94541540275,255236.62558810553,57.40934704612835,42.59065295387163,0.0
2024-08-27 04:00:00,2677.81,62840.0,7.105427357601002e-15,4.055237139944479,0,1.902698443245754e-11,254831.10187411107,254831.1018741111,7.466507931146113e-15,99.99999999999999,0.0
2024-08-27 05:00:00,2683.44,62838.0,95.16399665178304,0.0,0,255366.87517526068,0.0,255366.87517526068,100.0,0.0,0.0
2024-08-27 06:00:00,2687.01,62984.0,95.16399665178304,0.0,0,255706.61064330756,0.0,255706.61064330756,100.0,0.0,0.0
