100% sDAI,100% wstETH,Const. Weight,No Fee,Sirloin Index,period,sDAI,wstETH
101.01630659115813,85.7704713158064,91.8688054259471,91.82054443401763,91.73162677679282,2023-09-18 00:00:00.000 UTC,1.0349798549358296,1866.76
101.02946914197902,86.13068928443437,92.09020122745223,92.05670636979528,91.96711205585544,2023-09-19 00:00:00.000 UTC,1.0351147141026207,1874.6
101.04294480913285,85.09000854598753,91.47118305124567,91.39424852924785,91.30395079329591,2023-09-20 00:00:00.000 UTC,1.035252781356381,1851.95
101.05694572487725,83.06424193414995,90.26132345044087,90.09380183955183,90.00216532146314,2023-09-21 00:00:00.000 UTC,1.0353962301344555,1807.86
101.07060894668741,83.56964979829633,90.57003345765276,90.42758193719506,90.33496337949984,2023-09-22 00:00:00.000 UTC,1.0355362190115411,1818.86
101.084018787481,83.61421758268014,90.60213806460048,90.46131611172214,90.36861957417368,2023-09-23 00:00:00.000 UTC,1.0356736118300633,1819.83
101.09610155294087,82.94294404675483,90.20420704922924,90.02989517765184,89.93675715950532,2023-09-24 00:00:00.000 UTC,1.0357974078711667,1805.22
101.11087196449661,83.2195399869513,90.37607277796943,90.21529421194626,90.121620259725,2023-09-25 00:00:00.000 UTC,1.0359487406502514,1811.24
101.124345347469,83.50164946748392,90.55072781947794,90.40359762768036,90.30937595516622,2023-09-26 00:00:00.000 UTC,1.0360867845010397,1817.38
101.13812283200362,83.81500234325465,90.74425053875424,90.61207647404505,90.5172456027755,2023-09-27 00:00:00.000 UTC,1.0362279440764213,1824.2
101.15181393063294,86.6365566102754,92.44265953841841,92.44720582350155,92.34681247049316,2023-09-28 00:00:00.000 UTC,1.0363682185702279,1885.61
101.16528150015601,87.40201979360982,92.9073244762283,92.94221060799326,92.8403153589208,2023-09-29 00:00:00.000 UTC,1.0365062028583265,1902.27
101.1782361728279,87.66575080635528,93.07074495294432,93.11524022532022,93.01283337625128,2023-09-30 00:00:00.000 UTC,1.03663893217397,1908.01
101.19233849730354,90.88473943927295,95.00777906248518,95.17188430902857,95.06313275535041,2023-10-01 00:00:00.000 UTC,1.0367834199525534,1978.07
101.20583213067066,87.30093822078054,92.8628957847366,92.92524852384938,92.81455067898872,2023-10-02 00:00:00.000 UTC,1.0369216712822262,1900.07
101.21912649038596,86.88650377218052,92.61955285946269,92.66545069117686,92.55451897141906,2023-10-03 00:00:00.000 UTC,1.0370578809195998,1891.05
101.23277029190561,86.46288008968692,92.37083617057439,92.39936731227088,92.28819764500003,2023-10-04 00:00:00.000 UTC,1.037197670822776,1881.83
101.24549112854436,84.6480063957068,91.28700028884182,91.24032257588038,91.12820891114701,2023-10-05 00:00:00.000 UTC,1.0373280043313284,1842.33
101.25912720431188,86.37696075278205,92.32982733339398,92.36340032332909,92.2476878021532,2023-10-06 00:00:00.000 UTC,1.037467715078989,1879.96
101.2735435144253,85.82882295103057,92.00671117638846,92.01698403557026,91.9009872721273,2023-10-07 00:00:00.000 UTC,1.037615419851153,1868.03
101.28653085489934,85.70936291041417,91.94023008820824,91.94486036182795,91.82878688129551,2023-10-08 00:00:00.000 UTC,1.0377484838703537,1865.43
101.30030598707575,82.9668360548781,90.30022402775717,90.18463209842535,90.06723978392831,2023-10-09 00:00:00.000 UTC,1.0378896193442466,1805.74
101.31406794511138,82.34564384367276,89.9330134842482,89.78439271378014,89.66669747774037,2023-10-10 00:00:00.000 UTC,1.0380306198402258,1792.22
101.32739721578461,82.20045394815435,89.85123125520644,89.69413423341672,89.57635343995555,2023-10-11 00:00:00.000 UTC,1.038167187163793,1789.06
101.34102550845185,80.70306828519708,88.958251174499,88.71862415227972,88.60015178455103,2023-10-12 00:00:00.000 UTC,1.038306818168368,1756.47
101.35468009620818,81.42855830109444,89.39900701913994,89.2019337917707,89.08187457318367,2023-10-13 00:00:00.000 UTC,1.0384467185837776,1772.26
101.36753669604381,81.72031647721529,89.5792045647467,89.3982259012864,89.27753303182666,2023-10-14 00:00:00.000 UTC,1.0385784430773952,1778.61
101.38194208955815,81.78096542091286,89.62135608837099,89.44311594708256,89.32229818908789,2023-10-15 00:00:00.000 UTC,1.0387260360016752,1779.93
101.3954741830915,84.08608474311497,91.00984051910558,90.96054448872486,90.83467010940387,2023-10-16 00:00:00.000 UTC,1.0388646813815623,1830.1
101.40896478051641,82.23169734339248,89.90260431824206,89.76178965370839,89.63515579031665,2023-10-17 00:00:00.000 UTC,1.0390029016059696,1789.74
101.4222613452265,82.15910239563328,89.86436597547058,89.71895186456503,89.59226937542216,2023-10-18 00:00:00.000 UTC,1.039139133834995,1788.16
101.43611519977901,82.28177866811244,89.94351328077906,89.80423253682892,89.6772837873561,2023-10-19 00:00:00.000 UTC,1.0392810758724629,1790.83
101.44937765520554,84.27722080810123,91.14608354694295,91.11565215331241,90.98425387787013,2023-10-20 00:00:00.000 UTC,1.0394169586289865,1834.26
101.46316928366336,85.56784870845317,91.92597693853725,91.9578181748174,91.82354824293347,2023-10-21 00:00:00.000 UTC,1.0395582631183535,1862.35
101.47682902513291,87.42407395495438,93.04517598302579,93.15967599623194,93.02127571944905,2023-10-22 00:00:00.000 UTC,1.039698216337014,1902.75
101.49040016292314,92.59761263703444,96.15472764738993,96.47243391377287,96.3225213312251,2023-10-23 00:00:00.000 UTC,1.0398372617515161,2015.35
