,ETH Price,BTC Price,ETH_Comp,BTC_Comp,ETH_Value,BTC_Value,Total_Value,ETH_Percentage,BTC_Percentage
2024-08-28 16:00:00,2500.07,59099.0,46.56756694165408,0.0,116422.17708382112,0.0,116422.17708382112,100.0,0.0
2024-08-28 17:00:00,2496.53,58778.0,46.56756694165408,0.0,116257.32789684767,0.0,116257.32789684767,100.0,0.0
2024-08-28 18:00:00,2510.78,58792.0,46.56756694165408,0.0,116920.91572576623,0.0,116920.91572576623,100.0,0.0
2024-08-28 19:00:00,2507.59,58647.0,46.56756694165408,0.0,116772.36518722236,0.0,116772.36518722236,100.0,0.0
2024-08-28 20:00:00,2539.52,59057.0,46.56756694165408,0.0,118259.26759966936,0.0,118259.26759966936,100.0,0.0
2024-08-28 21:00:00,2519.01,59196.0,46.56756694165408,0.0,117304.16680169605,0.0,117304.16680169605,100.0,0.0
2024-08-28 22:00:00,2532.59,59124.0,46.56756694165408,0.0,117936.55436076371,0.0,117936.55436076371,100.0,0.0
2024-08-28 23:00:00,2537.64,59264.0,46.56756694165408,0.0,118171.72057381905,0.0,118171.72057381905,100.0,0.0
2024-08-29 00:00:00,2529.01,58910.0,46.56756694165408,0.0,117769.84247111258,0.0,117769.84247111258,100.0,0.0
2024-08-29 01:00:00,2527.39,59005.0,46.56756694165408,0.0,117694.4030126671,0.0,117694.4030126671,100.0,0.0
2024-08-29 02:00:00,2530.23,59087.0,46.56756694165408,0.0,117826.6549027814,0.0,117826.6549027814,100.0,0.0
2024-08-29 03:00:00,2524.38,58977.0,46.56756694165408,0.0,117554.23463617273,0.0,117554.23463617273,100.0,0.0
2024-08-29 04:00:00,2528.69,59058.0,46.56756694165408,0.0,117754.94084969125,0.0,117754.94084969125,100.0,0.0
2024-08-29 05:00:00,2525.38,59076.0,46.56756694165408,0.0,117600.80220311438,0.0,117600.80220311438,100.0,0.0
2024-08-29 06:00:00,2524.45,59112.0,46.56756694165408,0.0,117557.49436585863,0.0,117557.49436585863,100.0,0.0
2024-08-29 07:00:00,2540.63,59421.0,46.56756694165408,0.0,118310.95759897461,0.0,118310.95759897461,100.0,0.0
2024-08-29 08:00:00,2555.23,59738.0,46.56756694165408,0.0,118990.84407632276,0.0,118990.84407632276,100.0,0.0
2024-08-29 09:00:00,2550.92,59623.0,46.56756694165408,0.0,118790.13786280423,0.0,118790.13786280423,100.0,0.0
2024-08-29 10:00:00,2553.25,59473.0,46.56756694165408,0.0,118898.64029377827,0.0,118898.64029377827,100.0,0.0
2024-08-29 11:00:00,2548.95,59597.0,46.56756694165408,0.0,118698.39975592916,0.0,118698.39975592916,100.0,0.0
2024-08-29 12:00:00,2540.16,59573.0,46.56756694165408,0.0,118289.07084251201,0.0,118289.07084251201,100.0,0.0
2024-08-29 13:00:00,2557.4,60174.0,46.56756694165408,0.0,119091.89569658614,0.0,119091.89569658614,100.0,0.0
2024-08-29 14:00:00,2570.52,60286.0,46.56756694165408,0.0,119702.86217486064,0.0,119702.86217486064,100.0,0.0
2024-08-29 15:00:00,2567.02,60249.0,46.56756694165408,0.0,119539.87569056485,0.0,119539.87569056485,100.0,0.0
2024-08-29 16:00:00,2566.57,60726.0,46.56756694165408,0.0,119518.92028544111,0.0,119518.92028544111,100.0,0.0
2024-08-29 17:00:00,2576.88,60797.0,46.56756694165408,0.0,119999.03190060957,0.0,119999.03190060957,100.0,0.0
2024-08-29 18:00:00,2564.36,60204.0,46.56756694165408,0.0,119416.00596250006,0.0,119416.00596250006,100.0,0.0
2024-08-29 19:00:00,2580.09,60568.0,46.56756694165408,0.0,120148.51379049227,0.0,120148.51379049227,100.0,0.0
2024-08-29 20:00:00,2516.95,58992.0,46.56756694165408,0.0,117208.23761379623,0.0,117208.23761379623,100.0,0.0
2024-08-29 21:00:00,2524.52,59355.0,46.56756694165408,0.0,117560.75409554456,0.0,117560.75409554456,100.0,0.0
2024-08-29 22:00:00,2534.38,59375.0,46.56756694165408,0.0,118019.91030558926,0.0,118019.91030558926,100.0,0.0
2024-08-29 23:00:00,2532.06,59474.0,46.56756694165408,0.0,117911.87355028462,0.0,117911.87355028462,100.0,0.0
2024-08-30 00:00:00,2523.4,59156.0,46.56756694165408,0.0,117508.5984205699,0.0,117508.5984205699,100.0,0.0
2024-08-30 01:00:00,2527.22,59324.0,8.731144671813297,1.6088441492903378,22065.5234375,95443.0703125,117508.59375,18.777795506977547,81.22220449302246
2024-08-30 02:00:00,2524.64,59299.0,8.731144671813297,1.6088441492903378,22042.997084246723,95402.84920876774,117445.84629301447,18.768647661878028,81.23135233812197
2024-08-30 03:00:00,2525.25,59125.0,8.731144671813297,1.6088441492903378,22048.32308249653,95122.91032679123,117171.23340928776,18.817181010188833,81.18281898981117
2024-08-30 04:00:00,2517.09,59048.0,8.731144671813297,1.6088441492903378,21977.076941974534,94999.02932729587,116976.1062692704,18.787663261234663,81.21233673876533
2024-08-30 05:00:00,2519.95,59018.0,8.731144671813297,1.6088441492903378,22002.048015735916,94950.76400281716,116952.81201855307,18.812756731531664,81.18724326846834
2024-08-30 06:00:00,2520.19,58964.0,8.731144671813297,1.6088441492903378,22004.143490457154,94863.88641875547,116868.02990921262,18.82819750409995,81.17180249590005
2024-08-30 07:00:00,2513.57,58806.0,8.731144671813297,1.6088441492903378,21946.34331272975,94609.6890431676,116556.03235589735,18.829006846868136,81.17099315313186
2024-08-30 08:00:00,2527.94,59147.0,8.731144671813297,1.6088441492903378,22071.809861663707,95158.30489807561,117230.11475973931,18.82776444167049,81.17223555832952
2024-08-30 09:00:00,2518.38,59278.0,8.731144671813297,1.6088441492903378,21988.340118601172,95369.06348163265,117357.40360023383,18.736218972176854,81.26378102782314
2024-08-30 10:00:00,2519.21,59334.0,8.731144671813297,1.6088441492903378,21995.586968678777,95459.1587539929,117454.74572267168,18.726860999396028,81.27313900060396
2024-08-30 11:00:00,2525.02,59499.0,8.731144671813297,1.6088441492903378,22046.31491922201,95724.6180386258,117770.93295784782,18.719657190040902,81.2803428099591
2024-08-30 12:00:00,2518.02,59497.0,8.731144671813297,1.6088441492903378,21985.19690651932,95721.40035032723,117706.59725684655,18.677964888022043,81.32203511197795
2024-08-30 13:00:00,2513.91,59415.0,8.731144671813297,1.6088441492903378,21949.311901918165,95589.47513008543,117538.78703200359,18.67410108285513,81.32589891714488
2024-08-30 14:00:00,2523.22,59537.0,8.731144671813297,1.6088441492903378,22030.598858812744,95785.75411629885,117816.3529751116,18.699101018231868,81.30089898176813
2024-08-30 15:00:00,2522.27,59244.0,8.731144671813297,1.6088441492903378,22022.304271374524,95314.36278055677,117336.66705193129,18.76847606522504,81.23152393477496
2024-08-30 16:00:00,2482.25,58809.0,8.731144671813297,1.6088441492903378,21672.883861608556,94614.51557561547,116287.39943722403,18.63734503178767,81.36265496821234
2024-08-30 17:00:00,2447.92,58136.0,8.731144671813297,1.6088441492903378,21373.143665025207,93531.76346314308,114904.9071281683,18.600723153785744,81.39927684621425
